symbol,abbreviation,year_month_day,open_price,high_price,low_price,close_price,volume_1000_shares,value_1000_dollars,simple_roi_%,turnover_ratio_%,market_value_million_dollars,continuous_roi_%
2475   ,地琈         ,20000302,   44.90,   44.90,   44.90,   44.90,        1,          45,   6.9048,   0.0000,      152219,   6.6768
2475   ,地琈         ,20000303,   48.00,   48.00,   48.00,   48.00,        1,          48,   6.9042,   0.0000,      162729,   6.6763
2475   ,地琈         ,20000304,   51.00,   51.00,   51.00,   51.00,       34,        1739,   6.2500,   0.0010,      172900,   6.0625
2475   ,地琈         ,20000306,   54.50,   54.50,   54.50,   54.50,      691,       37660,   6.8627,   0.0204,      184765,   6.6375
2475   ,地琈         ,20000307,   58.00,   58.00,   58.00,   58.00,     3736,      216708,   6.4220,   0.1102,      196631,   6.2242
2475   ,地琈         ,20000308,   62.00,   62.00,   59.00,   62.00,    79068,     4877995,   6.8966,   2.3323,      210192,   6.6691
2475   ,地琈         ,20000309,   64.00,   64.00,   62.00,   62.50,    31089,     1968835,   0.8065,   0.9170,      211887,   0.8032
2475   ,地琈         ,20000310,   62.50,   62.50,   58.50,   58.50,    23563,     1403778,  -6.4000,   0.6950,      198326,  -6.6140
2475   ,地琈         ,20000313,   55.00,   56.00,   54.50,   54.50,     6399,      350110,  -6.8376,   0.1887,      184765,  -7.0826
2475   ,地琈         ,20000314,   51.00,   52.50,   51.00,   52.00,    19438,      998320,  -4.5872,   0.5734,      176290,  -4.6957
2475   ,地琈         ,20000315,   52.00,   55.00,   51.00,   52.50,    12874,      682034,   0.9615,   0.3797,      177985,   0.9569
2475   ,地琈         ,20000316,   50.00,   51.00,   48.90,   50.50,    15446,      767528,  -3.8095,   0.4556,      171205,  -3.8840
2475   ,地琈         ,20000317,   50.50,   51.00,   49.50,   50.00,    10366,      519273,  -0.9901,   0.3058,      169510,  -0.9950
2475   ,地琈         ,20000320,   48.30,   48.30,   48.30,   48.30,      188,        9076,  -3.4000,   0.0055,      163746,  -3.4591
