symbol,abbreviation,year_month_day,open_price,high_price,low_price,close_price,volume_1000_shares,value_1000_dollars,simple_roi_%,turnover_ratio_%,market_value_million_dollars,continuous_roi_%
2317   ,鴻海         ,20000104,  240.00,  250.00,  237.00,  248.00,    11609,     2859370,   5.9829,   1.0554,      272800,   5.8108
2317   ,鴻海         ,20000105,  245.00,  254.00,  243.00,  248.00,     9077,     2254107,   0.0000,   0.8252,      272800,   0.0000
2317   ,鴻海         ,20000106,  249.00,  254.00,  242.00,  248.00,    10848,     2705029,   0.0000,   0.9862,      272800,   0.0000
2317   ,鴻海         ,20000107,  240.00,  245.00,  236.00,  238.00,     7305,     1748150,  -4.0323,   0.6641,      261800,  -4.1158
2317   ,鴻海         ,20000110,  240.00,  247.00,  236.00,  243.00,     8203,     1991431,   2.1008,   0.7457,      267300,   2.0791
2317   ,鴻海         ,20000111,  258.00,  258.00,  241.00,  241.00,    13077,     3273171,  -0.8230,   1.1888,      265100,  -0.8265
2317   ,鴻海         ,20000112,  244.00,  255.00,  240.00,  255.00,    12145,     3027855,   5.8091,   1.1041,      280500,   5.6467
2317   ,鴻海         ,20000113,  259.00,  264.00,  253.00,  255.00,    20729,     5380729,   0.0000,   1.8845,      280500,   0.0000
2317   ,鴻海         ,20000114,  258.00,  260.00,  245.00,  245.00,     8729,     2195724,  -3.9216,   0.7935,      269500,  -4.0005
2317   ,鴻海         ,20000115,  246.00,  253.00,  246.00,  251.00,     6523,     1629938,   2.4490,   0.5930,      276100,   2.4195
2317   ,鴻海         ,20000117,  253.00,  259.00,  251.00,  254.00,     7277,     1863443,   1.1952,   0.6615,      279400,   1.1881
2317   ,鴻海         ,20000118,  256.00,  257.00,  251.00,  253.00,     4140,     1048937,  -0.3937,   0.3764,      278300,  -0.3945
2317   ,鴻海         ,20000119,  253.00,  254.00,  246.00,  247.00,     4594,     1147423,  -2.3715,   0.4176,      271700,  -2.4001
2317   ,鴻海         ,20000120,  250.00,  250.00,  244.00,  249.00,     3031,      750145,   0.8097,   0.2755,      273900,   0.8065
2317   ,鴻海         ,20000121,  249.00,  253.00,  248.00,  248.00,     5453,     1367610,  -0.4016,   0.4957,      272800,  -0.4024
2317   ,鴻海         ,20000124,  253.00,  253.00,  245.00,  245.00,     3669,      908687,  -1.2097,   0.3335,      269500,  -1.2171
2317   ,鴻海         ,20000125,  245.00,  248.00,  243.00,  243.00,     2632,      644359,  -0.8163,   0.2393,      267300,  -0.8197
2317   ,鴻海         ,20000126,  243.00,  248.00,  242.00,  244.00,     5448,     1335133,   0.4115,   0.4953,      268400,   0.4107
2317   ,鴻海         ,20000127,  248.00,  248.00,  243.00,  243.00,     2809,      687436,  -0.4098,   0.2554,      267300,  -0.4107
2317   ,鴻海         ,20000128,  243.00,  250.00,  243.00,  246.00,     5412,     1337935,   1.2346,   0.4920,      270600,   1.2270
2317   ,鴻海         ,20000129,  246.00,  249.00,  245.00,  249.00,     2392,      592505,   1.2195,   0.2175,      273900,   1.2121
2317   ,鴻海         ,20000131,  250.00,  252.00,  248.00,  249.00,     3610,      902897,   0.0000,   0.3282,      273900,   0.0000
2317   ,鴻海         ,20000201,  251.00,  252.00,  245.00,  246.00,     4438,     1100567,  -1.2048,   0.4035,      270600,  -1.2121
2317   ,鴻海         ,20000209,  252.00,  259.00,  248.00,  248.00,    16006,     4039936,   0.8130,   1.4551,      272800,   0.8097
2317   ,鴻海         ,20000210,  248.00,  253.00,  245.00,  253.00,     9863,     2464441,   2.0161,   0.8966,      278300,   1.9961
2317   ,鴻海         ,20000211,  256.00,  270.00,  256.00,  270.00,    18151,     4773205,   6.7194,   1.6501,      297000,   6.5032
2317   ,鴻海         ,20000214,  276.00,  282.00,  270.00,  270.00,    21421,     5941859,   0.0000,   1.9474,      297000,   0.0000
2317   ,鴻海         ,20000215,  275.00,  286.00,  270.00,  285.00,    12693,     3508726,   5.5556,   1.1539,      313500,   5.4067
2317   ,鴻海         ,20000216,  285.00,  286.00,  279.00,  281.00,     8495,     2392859,  -1.4035,   0.7723,      309100,  -1.4135
