symbol,abbreviation,year_month_day,open_price,high_price,low_price,close_price,volume_1000_shares,value_1000_dollars,simple_roi_%,turnover_ratio_%,market_value_million_dollars,continuous_roi_%
6505   ,台塑化       ,20031226,   46.00,   46.00,   46.00,   46.00,      570,       26220,   6.9767,   0.0073,      360640,   6.7441
6505   ,台塑化       ,20031229,   49.20,   49.20,   49.20,   49.20,     8026,      394891,   6.9565,   0.1024,      385728,   6.7252
6505   ,台塑化       ,20031230,   50.50,   51.50,   49.50,   51.50,   102267,     5143518,   4.6748,   1.3044,      403760,   4.5688
6505   ,台塑化       ,20031231,   50.50,   51.00,   50.00,   50.50,    25328,     1277919,  -1.9417,   0.3231,      395920,  -1.9608
6505   ,台塑化       ,20040102,   51.00,   54.00,   51.00,   54.00,    73037,     3881786,   6.9307,   0.9316,      423360,   6.7011
6505   ,台塑化       ,20040105,   54.50,   55.50,   53.50,   55.00,    36806,     2012668,   1.8519,   0.4695,      431200,   1.8349
6505   ,台塑化       ,20040106,   55.00,   55.00,   53.00,   53.50,    23310,     1265132,  -2.7273,   0.2973,      419440,  -2.7652
6505   ,台塑化       ,20040107,   54.00,   55.00,   53.00,   53.00,    24302,     1311131,  -0.9346,   0.3100,      415520,  -0.9390
6505   ,台塑化       ,20040108,   53.00,   54.00,   52.50,   53.50,    17618,      936499,   0.9434,   0.2247,      419440,   0.9390
6505   ,台塑化       ,20040109,   54.00,   54.00,   53.00,   53.00,    11851,      630967,  -0.9346,   0.1512,      415520,  -0.9390
6505   ,台塑化       ,20040112,   53.00,   53.50,   52.50,   53.00,     5733,      303297,   0.0000,   0.0731,      415520,   0.0000
6505   ,台塑化       ,20040113,   52.50,   53.50,   52.50,   52.50,     8614,      456945,  -0.9434,   0.1099,      411600,  -0.9479
6505   ,台塑化       ,20040114,   52.50,   53.50,   52.50,   53.00,     9241,      490061,   0.9524,   0.1179,      415520,   0.9479
6505   ,台塑化       ,20040115,   53.50,   53.50,   52.50,   52.50,     7060,      373572,  -0.9434,   0.0901,      411600,  -0.9479
6505   ,台塑化       ,20040116,   52.50,   53.50,   52.50,   53.50,    10000,      530359,   1.9048,   0.1276,      419440,   1.8868
6505   ,台塑化       ,20040127,   53.50,   54.00,   53.00,   53.00,    11335,      604436,  -0.9346,   0.1446,      415520,  -0.9390
6505   ,台塑化       ,20040128,   53.00,   53.50,   52.50,   52.50,     5493,      290097,  -0.9434,   0.0701,      411600,  -0.9479
6505   ,台塑化       ,20040129,   52.50,   52.50,   51.00,   51.00,    14596,      752041,  -2.8571,   0.1862,      399840,  -2.8988
6505   ,台塑化       ,20040130,   51.00,   52.00,   51.00,   52.00,    11679,      602941,   1.9608,   0.1490,      407680,   1.9418
6505   ,台塑化       ,20040202,   52.00,   52.50,   51.50,   51.50,     7601,      394864,  -0.9615,   0.0970,      403760,  -0.9662
6505   ,台塑化       ,20040203,   51.00,   52.00,   51.00,   51.00,     5564,      285420,  -0.9709,   0.0710,      399840,  -0.9756
6505   ,台塑化       ,20040204,   51.50,   52.00,   51.00,   51.50,     5254,      270904,   0.9804,   0.0670,      403760,   0.9756
6505   ,台塑化       ,20040205,   51.50,   52.00,   51.00,   51.50,     4223,      217506,   0.0000,   0.0539,      403760,   0.0000
6505   ,台塑化       ,20040206,   51.50,   53.00,   51.50,   52.50,    12430,      652309,   1.9417,   0.1585,      411600,   1.9231
6505   ,台塑化       ,20040209,   52.50,   53.00,   51.50,   51.50,     6619,      342951,  -1.9048,   0.0844,      403760,  -1.9231
6505   ,台塑化       ,20040210,   51.50,   52.50,   51.50,   52.50,    12572,      655510,   1.9417,   0.1604,      411600,   1.9231
6505   ,台塑化       ,20040211,   53.00,   53.00,   52.00,   52.00,    11755,      617575,  -0.9524,   0.1499,      407680,  -0.9569
6505   ,台塑化       ,20040212,   52.50,   53.00,   52.00,   52.00,    12884,      674825,   0.0000,   0.1643,      407680,   0.0000
6505   ,台塑化       ,20040213,   52.00,   52.50,   52.00,   52.50,     5592,      292377,   0.9615,   0.0713,      411600,   0.9569
6505   ,台塑化       ,20040216,   53.00,   54.00,   52.50,   54.00,    18230,      972678,   2.8571,   0.2325,      423360,   2.8171
