SecondStage , Node805 , SecondStageWealth , None , 999132.602193
SecondStage , Node804 , riskyWealth , 1102 , 0.0
SecondStage , Node804 , riskFreeWealth , None , 0.0
SecondStage , Node804 , riskyWealth , 1101 , 997008.973081
SecondStage , Node804 , SecondStageWealth , None , 994197.407777
SecondStage , Node809 , riskFreeWealth , None , 0.0
SecondStage , Node809 , riskyWealth , 1101 , 997008.973081
SecondStage , Node809 , riskyWealth , 1102 , 0.0
SecondStage , Node809 , SecondStageWealth , None , 1016879.36191
SecondStage , Node808 , riskFreeWealth , None , 0.0
SecondStage , Node808 , riskyWealth , 1101 , 997008.973081
SecondStage , Node808 , riskyWealth , 1102 , 0.0
SecondStage , Node808 , SecondStageWealth , None , 1003180.45862
SecondStage , Node754 , riskyWealth , 1101 , 997008.973081
SecondStage , Node754 , riskyWealth , 1102 , 0.0
SecondStage , Node754 , riskFreeWealth , None , 0.0
SecondStage , Node754 , SecondStageWealth , None , 1024007.97607
SecondStage , Node414 , riskFreeWealth , None , 0.0
SecondStage , Node414 , riskyWealth , 1101 , 997008.973081
SecondStage , Node414 , riskyWealth , 1102 , 0.0
SecondStage , Node414 , SecondStageWealth , None , 1017407.77667
SecondStage , Node969 , riskFreeWealth , None , 0.0
SecondStage , Node969 , riskyWealth , 1101 , 997008.973081
SecondStage , Node969 , riskyWealth , 1102 , 0.0
SecondStage , Node969 , SecondStageWealth , None , 1006839.48156
SecondStage , Node964 , riskFreeWealth , None , 0.0
SecondStage , Node964 , riskyWealth , 1101 , 997008.973081
SecondStage , Node964 , riskyWealth , 1102 , 0.0
SecondStage , Node964 , SecondStageWealth , None , 1007986.04187
SecondStage , Node965 , riskFreeWealth , None , 0.0
SecondStage , Node965 , riskyWealth , 1101 , 997008.973081
SecondStage , Node965 , riskyWealth , 1102 , 0.0
SecondStage , Node965 , SecondStageWealth , None , 1032582.25324
SecondStage , Node966 , riskyWealth , 1102 , 0.0
SecondStage , Node966 , riskFreeWealth , None , 0.0
SecondStage , Node966 , riskyWealth , 1101 , 997008.973081
SecondStage , Node966 , SecondStageWealth , None , 982093.718843
SecondStage , Node967 , riskFreeWealth , None , 0.0
SecondStage , Node967 , riskyWealth , 1101 , 997008.973081
SecondStage , Node967 , riskyWealth , 1102 , 0.0
SecondStage , Node967 , SecondStageWealth , None , 985712.861416
SecondStage , Node960 , riskFreeWealth , None , 0.0
SecondStage , Node960 , riskyWealth , 1101 , 997008.973081
SecondStage , Node960 , riskyWealth , 1102 , 0.0
SecondStage , Node960 , SecondStageWealth , None , 990159.521436
SecondStage , Node961 , riskyWealth , 1101 , 997008.973081
SecondStage , Node961 , riskyWealth , 1102 , 0.0
SecondStage , Node961 , riskFreeWealth , None , 0.0
SecondStage , Node961 , SecondStageWealth , None , 1024646.06181
SecondStage , Node962 , riskFreeWealth , None , 0.0
SecondStage , Node962 , riskyWealth , 1101 , 997008.973081
SecondStage , Node962 , riskyWealth , 1102 , 0.0
SecondStage , Node962 , SecondStageWealth , None , 983130.608175
SecondStage , Node963 , riskFreeWealth , None , 0.0
SecondStage , Node963 , riskyWealth , 1101 , 997008.973081
SecondStage , Node963 , riskyWealth , 1102 , 0.0
SecondStage , Node963 , SecondStageWealth , None , 1016151.54536
SecondStage , Node716 , riskFreeWealth , None , 0.0
SecondStage , Node716 , riskyWealth , 1101 , 997008.973081
SecondStage , Node716 , riskyWealth , 1102 , 0.0
SecondStage , Node716 , SecondStageWealth , None , 1020000.0
SecondStage , Node339 , riskFreeWealth , None , 0.0
SecondStage , Node339 , riskyWealth , 1101 , 997008.973081
SecondStage , Node339 , riskyWealth , 1102 , 0.0
SecondStage , Node339 , SecondStageWealth , None , 978414.755733
SecondStage , Node338 , riskyWealth , 1102 , 0.0
SecondStage , Node338 , riskFreeWealth , None , 0.0
SecondStage , Node338 , riskyWealth , 1101 , 997008.973081
SecondStage , Node338 , SecondStageWealth , None , 977926.221336
SecondStage , Node335 , riskFreeWealth , None , 0.0
SecondStage , Node335 , riskyWealth , 1101 , 997008.973081
SecondStage , Node335 , riskyWealth , 1102 , 0.0
SecondStage , Node335 , SecondStageWealth , None , 1026789.63111
SecondStage , Node334 , riskFreeWealth , None , 0.0
SecondStage , Node334 , riskyWealth , 1101 , 997008.973081
SecondStage , Node334 , riskyWealth , 1102 , 0.0
SecondStage , Node334 , SecondStageWealth , None , 974685.942173
SecondStage , Node337 , riskyWealth , 1101 , 997008.973081
SecondStage , Node337 , riskyWealth , 1102 , 0.0
SecondStage , Node337 , riskFreeWealth , None , 0.0
SecondStage , Node337 , SecondStageWealth , None , 996091.724826
SecondStage , Node336 , riskFreeWealth , None , 0.0
SecondStage , Node336 , riskyWealth , 1101 , 997008.973081
SecondStage , Node336 , riskyWealth , 1102 , 0.0
SecondStage , Node336 , SecondStageWealth , None , 988703.888335
SecondStage , Node331 , riskFreeWealth , None , 0.0
SecondStage , Node331 , riskyWealth , 1101 , 997008.973081
SecondStage , Node331 , riskyWealth , 1102 , 0.0
SecondStage , Node331 , SecondStageWealth , None , 1015044.8654
SecondStage , Node330 , riskFreeWealth , None , 0.0
SecondStage , Node330 , riskyWealth , 1101 , 997008.973081
SecondStage , Node330 , riskyWealth , 1102 , 0.0
SecondStage , Node330 , SecondStageWealth , None , 1006001.99402
SecondStage , Node333 , riskFreeWealth , None , 0.0
SecondStage , Node333 , riskyWealth , 1101 , 997008.973081
SecondStage , Node333 , riskyWealth , 1102 , 0.0
SecondStage , Node333 , SecondStageWealth , None , 1022382.85145
SecondStage , Node332 , riskyWealth , 1102 , 0.0
SecondStage , Node332 , riskFreeWealth , None , 0.0
SecondStage , Node332 , riskyWealth , 1101 , 997008.973081
SecondStage , Node332 , SecondStageWealth , None , 1007357.92622
SecondStage , Node115 , riskFreeWealth , None , 0.0
