transDate,openPrice,highestPrice,lowestPrice,closePrice,volume,value,adjROI
20000104,34.3,35.4,33.8,34.2,24085,835701,1.7857
20000105,33.8,36.5,33.8,36.5,36425,1292019,6.7251
20000106,37.8,38.5,36.8,37.2,40023,1505282,1.9178
20000107,37.1,37.5,35.8,37.4,16090,589480,0.5376
20000110,38.1,39,37.4,37.4,28435,1087376,0
20000111,37.7,38.3,34.8,35.2,22923,847253,-5.8824
20000112,35.5,36.5,35,36.2,14495,521110,2.8409
20000113,36.2,38.2,36.2,37,31060,1160133,2.2099
20000114,37.8,38.3,35.5,36.6,21934,814399,-1.0811
20000115,36.9,37.3,36.1,36.6,8816,322326,0
20000117,37,38.5,36.8,37.8,26618,1008957,3.2787
20000118,38.4,39.1,37.8,38.7,27144,1046438,2.381
20000119,39,39.6,37,37,26021,1009423,-4.3928
20000120,36.6,37.2,36.1,36.7,8048,294915,-0.8108
20000121,37,37.9,36.9,37.7,14234,533270,2.7248
20000124,38.3,38.5,37.1,37.5,10406,393545,-0.5305
20000125,37.2,39,37.2,39,25913,993160,4
20000126,39.5,39.5,38.1,38.3,15586,603082,-1.7949
20000127,38.3,38.8,37.3,37.6,8026,303800,-1.8277
20000128,38,38,36.7,37,6366,238253,-1.5957
20000129,36.5,37.3,36.4,36.5,6405,234863,-1.3514
20000131,36.5,36.9,36.1,36.3,7493,273457,-0.5479
20000201,36.8,36.8,36.2,36.6,8176,298751,0.8264
20000209,37.5,37.5,36.9,37,5692,211727,1.0929
20000210,37.1,37.5,36.3,36.5,5824,213265,-1.3514
20000211,36.4,37.9,36.4,37.3,14338,535277,2.1918
20000214,37.5,38.5,37.4,37.7,21886,830710,1.0724
20000215,38,38.5,37.2,37.5,13653,518663,-0.5305
20000216,37.7,38.3,37.3,37.9,14113,536007,1.0667
20000217,38.5,40.5,38.5,40.5,33341,1332331,6.8602
20000218,43.3,43.3,43.3,43.3,13274,574660,6.9136
20000219,46.3,46.3,46.3,46.3,9834,455231,6.9284
20000221,49.5,49.5,49.5,49.5,2453,121424,6.9114
20000222,52.5,52.5,51.5,52.5,81082,4250049,6.0606
20000223,55.5,56,53,56,71819,3957030,6.6667
20000224,59.5,59.5,58.5,59.5,26666,1579524,6.25
