證券代碼,簡稱,年月日,市值(百萬元)
2492,華新科       ,20050103,7384
9934,成霖         ,20050103,7337
2542,興富發       ,20050103,7313
2514,龍邦         ,20050103,7240
2704,國賓         ,20050103,7237
3010,華立         ,20050103,7175
9941,裕融         ,20050103,7168
6209,今國光       ,20050103,7146
1726,永記         ,20050103,7135
1903,士紙         ,20050103,6995
3311,閎暉         ,20050103,6927
6191,精成科       ,20050103,6919
2360,致茂         ,20050103,6913
5203,訊連         ,20050103,6857
2008,高興昌       ,20050103,6781
1736,喬山         ,20050103,6772
6202,盛群         ,20050103,6754
9908,大台北       ,20050103,6738
2027,大成鋼       ,20050103,6728
1522,堤維西       ,20050103,6715
2905,三商行       ,20050103,6713
5007,三星         ,20050103,6629
6235,華孚         ,20050103,6629
1305,華夏         ,20050103,6584
2458,義隆         ,20050103,6526
2373,震旦行       ,20050103,6516
2489,瑞軒         ,20050103,6485
2910,統領         ,20050103,6470
2316,楠梓電       ,20050103,6469
9905,大華         ,20050103,6466
2355,敬鵬         ,20050103,6460
1201,味全         ,20050103,6452
9924,福興         ,20050103,6448
2404,漢唐         ,20050103,6442
3060,銘異         ,20050103,6439
2913,農林         ,20050103,6406
1532,勤美         ,20050103,6343
2545,皇翔         ,20050103,6341
2102,泰豐         ,20050103,6338
1714,和桐         ,20050103,6304
2368,金像電       ,20050103,6303
2342,茂矽         ,20050103,6250
2107,厚生         ,20050103,6241
1447,力鵬         ,20050103,6191
1609,大亞         ,20050103,6191
9945,潤泰新       ,20050103,6186
1234,黑松         ,20050103,6108
8926,台汽電       ,20050103,6091
8072,陞泰         ,20050103,6016
9925,新保         ,20050103,5978
8101,華冠         ,20050103,5869
2314,台揚         ,20050103,5836
2387,精元         ,20050103,5829
2832,台產         ,20050103,5777
1307,三芳         ,20050103,5759
1909,榮成         ,20050103,5732
2338,光罩         ,20050103,5719
2477,美隆電       ,20050103,5717
2520,冠德         ,20050103,5701
1608,華榮         ,20050103,5694
2362,藍天         ,20050103,5694
2448,晶電         ,20050103,5676
2851,中再保       ,20050103,5670
6277,宏正科       ,20050103,5656
1614,三洋電       ,20050103,5635
1444,力麗         ,20050103,5631
3024,憶聲         ,20050103,5612
2608,大榮         ,20050103,5574
2816,旺旺保       ,20050103,5529
1455,集盛         ,20050103,5489
1104,環泥         ,20050103,5487
2548,華固         ,20050103,5406
1110,東泥         ,20050103,5396
2852,第一保       ,20050103,5380
3062,建漢         ,20050103,5362
2104,中橡         ,20050103,5328
2017,官田鋼       ,20050103,5296
5471,松翰         ,20050103,5284
1473,台南         ,20050103,5256
9927,泰銘         ,20050103,5221
2365,昆盈         ,20050103,5195
6285,啟碁         ,20050103,5172
